country,region,city,latitude,longitude,annual_dni,annual_ghi,annual_tilt,collection_date,annual_dhi,annual_ghi_calc,monthly_ghi_dict,monthly_ghi_vals,solar_power_generated,Unnamed: 0,state,lat,lon,wind_speed_50m,wind_speed_100m,wind_speed_150m,wind_speed_80m_est,power_80m_est,year,region_enc
USA,Alabama,Birmingham,33.5186,-86.8104,4.24,"{'annual': 4.45, 'monthly': {'jan': 2.54, 'feb': 3.27, 'mar': 4.49, 'apr': 5.42, 'may': 6.12, 'jun': 6.17, 'jul': 5.95, 'aug': 5.66, 'sep': 4.64, 'oct': 3.82, 'nov': 2.93, 'dec': 2.3}}",5.0,2025-09-01T19:24:08.288,1.1839999999999995,5.0,"{'jan': 2.54, 'feb': 3.27, 'mar': 4.49, 'apr': 5.42, 'may': 6.12, 'jun': 6.17, 'jul': 5.95, 'aug': 5.66, 'sep': 4.64, 'oct': 3.82, 'nov': 2.93, 'dec': 2.3}","[2.54, 3.27, 4.49, 5.42, 6.12, 6.17, 5.95, 5.66, 4.64, 3.82, 2.93, 2.3]",4.9,0,Alabama,33.5186,-86.8104,4.3838415,5.599855,6.4800525,5.369727913912392,76.8153392809992,2025,0
USA,Arizona,Phoenix,33.4484,-112.074,7.35,"{'annual': 5.78, 'monthly': {'jan': 3.46, 'feb': 4.31, 'mar': 5.76, 'apr': 7.16, 'may': 7.96, 'jun': 8.31, 'jul': 7.49, 'aug': 6.81, 'sep': 6.12, 'oct': 4.94, 'nov': 3.8, 'dec': 3.18}}",6.68,2025-09-01T19:24:18.603,0.0649999999999995,6.68,"{'jan': 3.46, 'feb': 4.31, 'mar': 5.76, 'apr': 7.16, 'may': 7.96, 'jun': 8.31, 'jul': 7.49, 'aug': 6.81, 'sep': 6.12, 'oct': 4.94, 'nov': 3.8, 'dec': 3.18}","[3.46, 4.31, 5.76, 7.16, 7.96, 8.31, 7.49, 6.81, 6.12, 4.94, 3.8, 3.18]",6.546399999999999,2,Arizona,33.4484,-112.074,2.9970992,3.6149452,4.0042377,3.470396330262301,20.73616014273013,2025,2
USA,Arkansas,Little Rock,34.7465,-92.2896,4.37,"{'annual': 4.41, 'monthly': {'jan': 2.37, 'feb': 3.12, 'mar': 4.1, 'apr': 5.38, 'may': 5.75, 'jun': 6.35, 'jul': 6.32, 'aug': 5.99, 'sep': 4.88, 'oct': 3.67, 'nov': 2.72, 'dec': 2.24}}",4.97,2025-09-01T19:24:23.896,1.0369999999999997,4.97,"{'jan': 2.37, 'feb': 3.12, 'mar': 4.1, 'apr': 5.38, 'may': 5.75, 'jun': 6.35, 'jul': 6.32, 'aug': 5.99, 'sep': 4.88, 'oct': 3.67, 'nov': 2.72, 'dec': 2.24}","[2.37, 3.12, 4.1, 5.38, 5.75, 6.35, 6.32, 5.99, 4.88, 3.67, 2.72, 2.24]",4.8706,3,Arkansas,34.7465,-92.2896,4.463804,5.5842104,6.495348,5.397721547986255,78.02298158810281,2025,3
USA,California,Los Angeles,34.0522,-118.2437,5.72,"{'annual': 5.3, 'monthly': {'jan': 3.06, 'feb': 3.65, 'mar': 5.15, 'apr': 6.35, 'may': 6.89, 'jun': 7.24, 'jul': 7.65, 'aug': 7.02, 'sep': 5.79, 'oct': 4.42, 'nov': 3.46, 'dec': 2.82}}",6.06,2025-09-01T19:24:29.019,0.912,6.06,"{'jan': 3.06, 'feb': 3.65, 'mar': 5.15, 'apr': 6.35, 'may': 6.89, 'jun': 7.24, 'jul': 7.65, 'aug': 7.02, 'sep': 5.79, 'oct': 4.42, 'nov': 3.46, 'dec': 2.82}","[3.06, 3.65, 5.15, 6.35, 6.89, 7.24, 7.65, 7.02, 5.79, 4.42, 3.46, 2.82]",5.9388,4,California,34.0522,-118.2437,2.729708,3.2398598,3.5153496,3.1030947003075,14.824368455026978,2025,4
USA,Colorado,Denver,39.7392,-104.9903,6.12,"{'annual': 4.83, 'monthly': {'jan': 2.51, 'feb': 3.52, 'mar': 4.74, 'apr': 5.72, 'may': 6.59, 'jun': 7.21, 'jul': 7.11, 'aug': 6.19, 'sep': 5.35, 'oct': 3.89, 'nov': 2.78, 'dec': 2.26}}",5.85,2025-09-01T19:24:34.031,0.3419999999999996,5.85,"{'jan': 2.51, 'feb': 3.52, 'mar': 4.74, 'apr': 5.72, 'may': 6.59, 'jun': 7.21, 'jul': 7.11, 'aug': 6.19, 'sep': 5.35, 'oct': 3.89, 'nov': 2.78, 'dec': 2.26}","[2.51, 3.52, 4.74, 5.72, 6.59, 7.21, 7.11, 6.19, 5.35, 3.89, 2.78, 2.26]",5.733,5,Colorado,39.7392,-104.9903,3.3344028,4.1561155,4.665728,3.9696050124809688,31.033660008077167,2025,5
USA,Connecticut,Bridgeport,41.1792,-73.1894,3.67,"{'annual': 3.89, 'monthly': {'jan': 1.83, 'feb': 2.76, 'mar': 3.81, 'apr': 4.75, 'may': 5.51, 'jun': 5.81, 'jul': 5.96, 'aug': 5.29, 'sep': 4.28, 'oct': 2.95, 'nov': 2.02, 'dec': 1.66}}",4.54,2025-09-01T19:24:39.770,1.237,4.54,"{'jan': 1.83, 'feb': 2.76, 'mar': 3.81, 'apr': 4.75, 'may': 5.51, 'jun': 5.81, 'jul': 5.96, 'aug': 5.29, 'sep': 4.28, 'oct': 2.95, 'nov': 2.02, 'dec': 1.66}","[1.83, 2.76, 3.81, 4.75, 5.51, 5.81, 5.96, 5.29, 4.28, 2.95, 2.02, 1.66]",4.4492,6,Connecticut,41.1792,-73.1894,5.015281,6.121227,6.8383408,5.873167565697639,100.50977185117802,2025,6
USA,Delaware,Wilmington,39.7391,-75.5398,4.11,"{'annual': 4.09, 'monthly': {'jan': 2.08, 'feb': 2.97, 'mar': 4.03, 'apr': 4.97, 'may': 5.71, 'jun': 6.01, 'jul': 6.07, 'aug': 5.37, 'sep': 4.4, 'oct': 3.26, 'nov': 2.28, 'dec': 1.89}}",4.81,2025-09-01T19:24:44.829,1.110999999999999,4.81,"{'jan': 2.08, 'feb': 2.97, 'mar': 4.03, 'apr': 4.97, 'may': 5.71, 'jun': 6.01, 'jul': 6.07, 'aug': 5.37, 'sep': 4.4, 'oct': 3.26, 'nov': 2.28, 'dec': 1.89}","[2.08, 2.97, 4.03, 4.97, 5.71, 6.01, 6.07, 5.37, 4.4, 3.26, 2.28, 1.89]",4.713799999999999,7,Delaware,39.7391,-75.5398,4.5191317,5.779382,6.701218,5.54415871004763,84.5469751316269,2025,7
USA,Florida,Jacksonville,30.3322,-81.6557,4.64,"{'annual': 4.77, 'monthly': {'jan': 3.2, 'feb': 3.94, 'mar': 5.08, 'apr': 6.14, 'may': 6.58, 'jun': 6.0, 'jul': 5.94, 'aug': 5.5, 'sep': 4.56, 'oct': 4.05, 'nov': 3.38, 'dec': 2.84}}",5.31,2025-09-01T19:24:50.172,1.1339999999999997,5.31,"{'jan': 3.2, 'feb': 3.94, 'mar': 5.08, 'apr': 6.14, 'may': 6.58, 'jun': 6.0, 'jul': 5.94, 'aug': 5.5, 'sep': 4.56, 'oct': 4.05, 'nov': 3.38, 'dec': 2.84}","[3.2, 3.94, 5.08, 6.14, 6.58, 6.0, 5.94, 5.5, 4.56, 4.05, 3.38, 2.84]",5.203799999999999,8,Florida,30.3322,-81.6557,4.6199927,5.736026,6.498457,5.503255850032969,82.68947292419806,2025,8
USA,Georgia,Atlanta,33.749,-84.388,4.42,"{'annual': 4.5, 'monthly': {'jan': 2.71, 'feb': 3.41, 'mar': 4.49, 'apr': 5.48, 'may': 6.18, 'jun': 6.33, 'jul': 6.01, 'aug': 5.57, 'sep': 4.6, 'oct': 3.84, 'nov': 2.97, 'dec': 2.34}}",5.09,2025-09-01T19:24:55.328,1.1119999999999997,5.09,"{'jan': 2.71, 'feb': 3.41, 'mar': 4.49, 'apr': 5.48, 'may': 6.18, 'jun': 6.33, 'jul': 6.01, 'aug': 5.57, 'sep': 4.6, 'oct': 3.84, 'nov': 2.97, 'dec': 2.34}","[2.71, 3.41, 4.49, 5.48, 6.18, 6.33, 6.01, 5.57, 4.6, 3.84, 2.97, 2.34]",4.9882,9,Georgia,33.749,-84.388,4.664986,5.6723924,6.467553,5.48903504600538,82.05010154010982,2025,9
USA,Hawaii,Honolulu,21.3069,-157.8583,5.68,"{'annual': 5.67, 'monthly': {'jan': 4.16, 'feb': 4.82, 'mar': 5.61, 'apr': 6.37, 'may': 6.78, 'jun': 7.1, 'jul': 6.95, 'aug': 6.84, 'sep': 6.25, 'oct': 5.14, 'nov': 4.22, 'dec': 3.82}}",5.97,2025-09-01T19:25:00.321,0.8579999999999997,5.97,"{'jan': 4.16, 'feb': 4.82, 'mar': 5.61, 'apr': 6.37, 'may': 6.78, 'jun': 7.1, 'jul': 6.95, 'aug': 6.84, 'sep': 6.25, 'oct': 5.14, 'nov': 4.22, 'dec': 3.82}","[4.16, 4.82, 5.61, 6.37, 6.78, 7.1, 6.95, 6.84, 6.25, 5.14, 4.22, 3.82]",5.8506,10,Hawaii,21.3069,-157.8583,5.251651,6.6831255,7.421436,6.319116440306413,125.18727498869455,2025,10
