Unnamed: 0,country,state,city,lat,lon,wind_speed_50m,wind_speed_100m,wind_speed_150m,wind_speed_80m_est,power_80m_est,year,region_enc
0,USA,Alabama,Birmingham,33.5186,-86.8104,4.3838415,5.599855,6.4800525,5.369727913912392,76.8153392809992,2025,0
1,USA,Alaska,Anchorage,61.2181,-149.9003,4.99556,5.49257,5.813587,5.3460155553701085,75.8021923021846,2025,1
2,USA,Arizona,Phoenix,33.4484,-112.074,2.9970992,3.6149452,4.0042377,3.4703963302623015,20.73616014273013,2025,2
3,USA,Arkansas,Little Rock,34.7465,-92.2896,4.463804,5.5842104,6.495348,5.397721547986255,78.02298158810281,2025,3
4,USA,California,Los Angeles,34.0522,-118.2437,2.729708,3.2398598,3.5153496,3.1030947003075,14.824368455026978,2025,4
5,USA,Colorado,Denver,39.7392,-104.9903,3.3344028,4.1561155,4.665728,3.9696050124809688,31.033660008077167,2025,5
6,USA,Connecticut,Bridgeport,41.1792,-73.1894,5.015281,6.121227,6.8383408,5.8731675656976385,100.50977185117802,2025,6
7,USA,Delaware,Wilmington,39.7391,-75.5398,4.5191317,5.779382,6.701218,5.54415871004763,84.5469751316269,2025,7
8,USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,5.503255850032969,82.68947292419806,2025,8
9,USA,Georgia,Atlanta,33.749,-84.388,4.664986,5.6723924,6.467553,5.48903504600538,82.05010154010982,2025,9
10,USA,Hawaii,Honolulu,21.3069,-157.8583,5.251651,6.6831255,7.421436,6.319116440306413,125.18727498869457,2025,10
11,USA,Idaho,Boise,43.615,-116.2023,3.3708248,4.0730658,4.525595,3.912329638234874,29.709642845516033,2025,11
12,USA,Illinois,Chicago,41.8781,-87.6298,6.292622,7.3213973,8.05645,7.091043898461237,176.89747495648686,2025,12
13,USA,Indiana,Indianapolis,39.7684,-86.1581,5.000236,6.266613,7.1801386,6.020487553103095,108.26450647462778,2025,13
14,USA,Iowa,Des Moines,41.5868,-93.625,5.0926886,6.3645744,7.420443,6.159202667593427,115.92166118895864,2025,14
15,USA,Kansas,Wichita,37.6872,-97.3301,5.722939,7.107574,8.197908,6.863477641275163,160.4071717918396,2025,15
16,USA,Kentucky,Louisville,38.2527,-85.7585,4.6388736,5.660194,6.498373,5.485340297228814,81.88452571602768,2025,16
17,USA,Louisiana,New Orleans,29.9511,-90.0715,4.752861,5.87278,6.663433,5.645615259643155,89.27399026289991,2025,17
18,USA,Maine,Portland,43.6591,-70.2568,5.515271,6.518045,7.3033934,6.322600366913654,125.3944481525236,2025,18
19,USA,Maryland,Baltimore,39.2904,-76.6122,4.6361594,5.7341805,6.463388,5.497561004546749,82.43303383352574,2025,19
20,USA,Massachusetts,Boston,42.3601,-71.0589,5.6623025,6.728487,7.538968,6.515662955399375,137.23565028345513,2025,20
21,USA,Michigan,Detroit,42.3314,-83.0458,5.66138,6.79543,7.6424203,6.568975479806634,140.6319614940986,2025,21
22,USA,Minnesota,Minneapolis,44.9778,-93.265,5.335675,6.586311,7.4905796,6.338861960248933,126.36447430783194,2025,22
23,USA,Mississippi,Jackson,32.2988,-90.1848,4.4033256,5.482944,6.3096476,5.286126369855677,73.28308361393195,2025,23
24,USA,Missouri,Kansas City,39.0997,-94.5786,5.6228094,6.908264,7.7765713,6.633297436090584,144.80365572177544,2025,24
